Name,Description,Quantity,Unit Cost,Total Cost,URL
"Industrial Control PC (Mini-ITX, 16GB RAM, SSD)","High-performance PC for real-time control, running LinuxCNC or similar.",1,1500.00,1500.00,"https://www.advantech.com/products/industrial-computing-systems"
"PCIe Motion Control Card (e.g., Mesa 7I76E/7I76)","High-speed interface for stepper drivers and I/O.",1,350.00,350.00,"https://mesanet.com/index.html"
"NEMA23 Stepper Motor (3.0Nm, 4.2A)","High-torque stepper motors for cable winding.",4,240.00,960.00,"https://www.omc-stepperonline.com/nema-23-stepper-motor"
"Closed-Loop Stepper Driver (e.g., Leadshine HBS57)","High-performance drivers for NEMA23 motors, with encoder feedback.",4,400.00,1600.00,"https://www.leadshine.com/products/hybrid-servo-easy-servo-drives/"
"80/20 Aluminum Extrusion (40x80mm, 3m lengths)","Heavy-duty frame for 6x6m footprint and 3m height.",12,1200.00,14400.00,"https://www.8020.net/store/parts"
"80/20 Aluminum Extrusion Connectors & Fasteners","For assembling the modular frame.",1,300.00,300.00,"https://www.8020.net/store/parts"
"Inline Force Sensor (S-Type Load Cell, 500N)","Measures cable tension, 500N (approx 50kg) capacity.",4,200.00,800.00,"https://www.sparkfun.com/categories/136"
"HX711 Load Cell Amplifier (with 24-bit ADC)","Amplifies and digitizes load cell signals. Can be replaced by a single multi-channel industrial ADC.",4,20.00,80.00,"https://www.sparkfun.com/products/13230"
"High-Strength Dyneema Cable (2mm, 50m roll)","Strong, lightweight cable for suspension system.",2,100.00,200.00,"https://www.amazon.com/Dyneema-Spearfishing-Dacron-Durable-Strength/dp/B08V5Q8NLT"
"Stainless Steel Pulleys (low friction, bearing type)","For smooth cable routing at each corner and along frame.",8,80.00,640.00,"https://www.mcmaster.com/pulleys"
"Custom Cable Guides & Tensioners (3D Printed/Machined)","To be designed/fabricated based on final cable path. Budget for materials/service.",1,150.00,150.00,"https://www.mcmaster.com/cable-guides"
"Robot Harness (Customizable, Nylon Webbing)","Adjustable harness to attach to robot.",1,50.00,50.00,"https://www.amazon.com/Nylon-Webbing-Heavy-Strap-Black/dp/B07R4S25B2"
"Heavy-Duty Magnetic Breakaway Connectors (50kg pull force)","Safety release mechanism for robot harness.",4,120.00,480.00,"https://www.kjmagnetics.com/categories.asp?cat=2"
"Steel Enclosure (for Motor Controller Box)","Secure housing for stepper drivers and control electronics.",1,80.00,80.00,"https://www.hammondmfg.com/enclosures/steel"
"Large Emergency Stop Button (latching)","Prominent, easily accessible safety button.",1,20.00,20.00,"https://www.adafruit.com/product/3429"
"AC Power Distribution Unit (PDU, 8 outlets)","Provides centralized power for all AC components.",1,50.00,50.00,"https://www.amazon.com/APC-Rack-Mountable-Power-Distribution-AP9562/dp/B00006B7S3"
"48V 10A Switching Power Supply (for motors)","Powers two NEMA23 stepper motors each (2 supplies for 4 motors).",2,100.00,200.00,"https://www.meanwell-usa.com/product/switching-power-supply-rsp-series-rsp-400-48/"
"5V 5A DC Power Supply (for sensors/logic)","Powers load cell amplifiers and other low-voltage components.",1,20.00,20.00,"https://www.adafruit.com/product/2763"
"Safety Netting (Dyneema or Nylon, 3x3m sections)","Modular sections to create a perimeter safety barrier.",8,400.00,3200.00,"https://www.google.com/search?q=industrial+safety+netting+per+meter"
"High-Density Foam Floor Mats (1m x 1m, 2cm thick)","Covers 6x6m area for crash protection.",36,540.00,19440.00,"https://www.amazon.com/ProSource-Exercise-Puzzle-Interlocking-Tiles/dp/B073R5X2V7"
"Industrial Grade Ethernet Cables","For robust PC to motion controller connection and network access.",3,30.00,90.00,"https://www.mcmaster.com/ethernet-cables/industrial-ethernet-cables/"
"Various Gauge Wiring (for power & signal)","Internal wiring for motor controller box and sensor connections.",1,50.00,50.00,"https://www.mcmaster.com/wire/stranded-hookup-wire/"
"Cable Glands / Strain Relief","For professional cable entry/exit from enclosures.",1,20.00,20.00,"https://www.mcmaster.com/cable-glands/"
