Name,Description,Quantity,Unit Cost,Total Cost,URL
"Raspberry Pi 5 (8GB RAM)","Main control unit for arena systems, vision processing, and communication.",1,80.00,80.00,"https://www.adafruit.com/product/5815"
"Raspberry Pi 5 27W USB-C Power Supply","Official power for RPi5.",1,15.00,15.00,"https://www.adafruit.com/product/5828"
"SanDisk Extreme 64GB microSD Card (A2 rated)","High-speed storage for RPi OS, vision software, and data.",1,15.00,15.00,"https://www.adafruit.com/product/4909"
"OV5640 USB Camera Module (5MP)","Two identical cameras for stereo AprilTag tracking.",2,50.00,100.00,"https://www.amazon.com/ELP-OV5640-Camera-Autofocus-Industrial/dp/B08V8R3R3T"
"Powered USB 3.0 Hub (7-port with external PSU)","Powers and manages data for two cameras, connected to RPi5.",1,30.00,30.00,"https://www.amazon.com/AmazonBasics-Port-USB-Power-Adapter/dp/B0797P1Z5J"
"WS2812B Addressable LED Strip (IP65, 5m, 60 LEDs/m)","Perimeter lighting (total 15m, cut to fit 3x3m perimeter + spares).",3,60.00,180.00,"https://www.adafruit.com/product/1460"
"ESP32 Development Board (e.g., ESP32-WROOM-32)","Microcontroller for LED strip control.",1,10.00,10.00,"https://www.adafruit.com/product/3405"
"5V 10A Power Supply (for LEDs)","High-current power for LED strips.",1,25.00,25.00,"https://www.adafruit.com/product/2763"
"Sumo Competition Mat (3x3m, durable vinyl)","Official size mat with sumo markings.",1,350.00,350.00,"https://www.google.com/search?q=3x3m+robot+sumo+mat+official"
"Aluminum Extrusion (20x20mm, 1m lengths)","Modular frame for overhead camera rig (can be disassembled).",12,120.00,1440.00,"https://www.amazon.com/Aluminum-Extrusion-European-Standard-Anodized/dp/B09VPH7294"
"Aluminum Extrusion Connectors & Brackets","For assembling the camera rig frame.",1,30.00,30.00,"https://www.amazon.com/Connector-Bracket-Fastener-Aluminum-Extrusion/dp/B09S3622H7"
"Referee Laptop Stand (Folding/Adjustable)","Portable stand for referee's laptop.",1,40.00,40.00,"https://www.amazon.com/adjustable-laptop-stand/s?k=adjustable+laptop+stand"
"Arduino Leonardo/Pro Micro (for button panel)","Acts as a USB HID device for referee button panel.",1,15.00,15.00,"https://www.adafruit.com/product/871"
"Arcade Push Buttons (various colors)","Durable buttons for referee actions.",8,20.00,160.00,"https://www.adafruit.com/product/3489"
"Small Breadboard/Perfboard & Jumper Wires","For custom button panel wiring.",1,10.00,10.00,"https://www.adafruit.com/product/64"
"I2C OLED Display (128x32/128x64)","For referee timer display.",1,10.00,10.00,"https://www.adafruit.com/product/938"
"Multi-Port USB Charging Station (min. 4 ports, 40W+)","Dedicated charging for 2 robots simultaneously plus spares.",1,30.00,30.00,"https://www.amazon.com/Anker-Charger-Adapter-PowerPort-Foldable/dp/B07L3Y7W7H"
"Modular Foam Safety Panels (1x0.5m, stackable)","Creates a safety perimeter around the arena.",8,160.00,1280.00,"https://www.google.com/search?q=modular+foam+safety+panels"
"Heavy-Duty Utility Cart (Folding/Wheeled)","For transport and storage of all components.",1,150.00,150.00,"https://www.amazon.com/folding-utility-cart-heavy-duty/s?k=folding+utility+cart+heavy+duty"
"Stackable Plastic Storage Bins (various sizes)","Organizes small parts, cables, and tools.",6,50.00,300.00,"https://www.amazon.com/stackable-storage-bins-plastic/s?k=stackable+storage+bins+plastic"
"P10 LED Matrix Panels (32x16 pixels, RGB)","Build a large scoreboard (e.g., 64x32 pixels total).",4,120.00,480.00,"https://www.adafruit.com/product/2279"
"Hub75 LED Matrix Driver Board (ESP32-based)","Controller for the P10 LED matrix panels.",1,20.00,20.00,"https://www.adafruit.com/product/5412"
"5V 20A Power Supply (for Scoreboard)","Powers the scoreboard LED panels.",1,35.00,35.00,"https://www.adafruit.com/product/1461"
"Gigabit Ethernet Switch (5-port)","Wired network for RPi5 and potential referee laptop.",1,20.00,20.00,"https://www.amazon.com/TP-Link-5-Port-Gigabit-Ethernet-Switch/dp/B00A1SFMRM"
"Ethernet Cables (various lengths)","For RPi5 to switch, switch to wall, etc.",3,15.00,45.00,"https://www.amazon.com/AmazonBasics-RJ45-Cat6-Ethernet-Patch/dp/B07XQ9L1S2"
"Assorted USB Cables (Type A-C, A-Micro B)","For robot charging, RPi5 peripherals.",4,15.00,60.00,"https://www.amazon.com/Anker-Powerline-Durability-Charger-Samsung/dp/B07V52QJ8M"
"Cable Management Ties (Velcro/Zip Ties)","For organizing all cables.",1,8.00,8.00,"https://www.amazon.com/Reusable-Cable-Ties-Fastening-Organizing/dp/B07R9QG3M5"
