Name,Description,Quantity,Unit Cost,Total Cost,URL
"80/20 Aluminum Extrusion (40x80mm, 3m lengths)","Two 6x6x3m modular frames for aerial rigs (2x 12 units).",24,2400.00,57600.00,"https://www.8020.net/store/parts"
"80/20 Aluminum Extrusion Connectors & Fasteners","For assembling both modular frames (2x $300).",2,600.00,1200.00,"https://www.8020.net/store/parts"
"NEMA23 Stepper Motor (3.0Nm, 4.2A, geared 1:5)","8 motors for 2 arenas (4 per arena), with integrated gearbox.",8,1200.00,9600.00,"https://www.omc-stepperonline.com/nema-23-stepper-motor-with-planetary-gearbox"
"Closed-Loop Stepper Driver (e.g., Leadshine HBS57)","High-performance drivers for 8 NEMA23 motors.",8,800.00,6400.00,"https://www.leadshine.com/products/hybrid-servo-easy-servo-drives/"
"Inline Force Sensor (S-Type Load Cell, 50kg capacity)","8 sensors for 2 arenas (4 per arena).",8,400.00,3200.00,"https://www.sparkfun.com/categories/136"
"8-Channel High-Resolution ADC Module (e.g., ADS1256)","For all 8 force sensors, connected to Arena Control PC.",1,50.00,50.00,"https://www.waveshare.com/wiki/High-precision_AD/DA_Board"
"Stainless Steel Aircraft Cable (2mm, 250kg BS, 50m roll)","Enough for 8 cables (8m each) for both arenas + spares.",4,200.00,800.00,"https://www.mcmaster.com/aircraft-cable/wire-rope-diameter~2-mm/"
"Stainless Steel Pulleys (low friction, bearing type)","8 pulleys per arena for cable routing.",16,160.00,2560.00,"https://www.mcmaster.com/pulleys"
"Custom Cable Guides & Tensioners (3D Printed/Machined)","Budget for design and fabrication for both arenas.",2,300.00,600.00,"https://www.mcmaster.com/cable-guides"
"Robot Harness (Customizable, Nylon Webbing)","Harnesses for two ToddlerBots.",2,100.00,200.00,"https://www.amazon.com/Nylon-Webbing-Heavy-Strap-Black/dp/B07R4S25B2"
"Heavy-Duty Magnetic Breakaway Connectors (50kg pull force)","Safety release for 8 cable connections.",8,240.00,1920.00,"https://www.kjmagnetics.com/categories.asp?cat=2"
"High-Density EVA Foam Floor Mats (1x1m, 10cm thick)","Full 6x6m coverage for both arenas (2x 36 mats).",72,2160.00,155520.00,"https://www.amazon.com/ProSource-Exercise-Puzzle-Interlocking-Tiles/dp/B073R5X2V7"
"Industrial Control PC (Ryzen 9 5950X, RTX 4070, 32GB RAM, 2TB NVMe)","High-performance streaming and control PC.",1,2500.00,2500.00,"https://www.system76.com/desktops"
"PCIe Motion Control Card (Mesa 7I76E/7I76)","One per arena for precise motor control from Arena PC.",2,700.00,1400.00,"https://mesanet.com/index.html"
"VR Teleoperation PC (i7-12700K, RTX 4060 Ti, 16GB RAM, 512GB NVMe)","Two dedicated PCs for VR player stations (2x $1500).",2,3000.00,6000.00,"https://www.dell.com/en-us/gaming/alienware-desktops"
"Arena Control PC (i5-12400, 16GB RAM, 256GB SSD)","Manages arena logic, AprilTag, scoreboard, etc.",1,800.00,800.00,"https://www.hp.com/us-en/shop/sites/v/desktops/business-desktops"
"Modular Aluminum Bleachers (50-person, ANSI/ASTM F2912)","Lightweight, portable, fold-down seating for 50 spectators.",1,4000.00,4000.00,"https://www.bleachers.com/portable-bleachers"
"PTZ Camera (e.g., PTZOptics 20x-SDI)","4 overhead for arenas (2 per) and 1 wide shot. HDMI/IP output.",5,2500.00,12500.00,"https://ptzoptics.com/camera/20x-sdi/"
